subject,session,task,stimulus_label,n_present_channels,dense_file,band_file,meta_file,n_kept_windows,n_dropped_windows,status
sub-04,ses-01,task-dme_run-01,Despicable Me (English),59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-dme_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-dme_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-dme_run-01/run_meta_master61_masked.json,105,15,ok
sub-04,ses-01,task-inscapes,Inscapes,59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-inscapes/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-inscapes/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-inscapes/run_meta_master61_masked.json,112,14,ok
sub-04,ses-01,task-monkey1_run-01,Monkey 1,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-monkey1_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-monkey1_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-monkey1_run-01/run_meta_master61_masked.json,57,4,ok
sub-04,ses-01,task-monkey1_run-02,Monkey 1,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-monkey1_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-monkey1_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-monkey1_run-02/run_meta_master61_masked.json,55,5,ok
sub-04,ses-01,task-tp_run-01,The Present,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-tp_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-tp_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-tp_run-01/run_meta_master61_masked.json,45,8,ok
sub-04,ses-01,task-tp_run-02,The Present,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-tp_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-tp_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-01/task-tp_run-02/run_meta_master61_masked.json,46,4,ok
sub-04,ses-02,task-dmh_run-01,Despicable Me (Hungarian),56,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-dmh_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-dmh_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-dmh_run-01/run_meta_master61_masked.json,129,5,ok
sub-04,ses-02,task-dmh_run-02,Despicable Me (Hungarian),57,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-dmh_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-dmh_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-dmh_run-02/run_meta_master61_masked.json,122,5,ok
sub-04,ses-02,task-inscapes,Inscapes,57,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-inscapes/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-inscapes/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-inscapes/run_meta_master61_masked.json,118,13,ok
sub-04,ses-02,task-monkey2_run-01,Monkey 2,56,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey2_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey2_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey2_run-01/run_meta_master61_masked.json,56,9,ok
